Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus badius,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|S395
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus costatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|S39B
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus enneagrammus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|S39H
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus hewardi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|S39M
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus occiduus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|S39X
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus sepsoides,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|69GVR
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Celestus|Celestus stenurus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|3JZK|69GW3
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus bilobatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LJC
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus delasagra,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LJK
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus fasciatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LJM
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus microlepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LK2
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus millepunctatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LK3
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus monotropis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LK4
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus owenii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|36LKD
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Diploglossus|Diploglossus pleii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|469M|6CY4F
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Ophiodes,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H6SS|9BR|68SD
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Ophiodes|Ophiodes striatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|68SD|49WZL
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Diploglossidae|Ophiodes|Ophiodes vertebralis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|9BR|68SD|49WZM
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Xenosauridae,unranked|kingdom|phylum|class|order|superfamily|family,5T6MX|N|CH2|RP|45C|8H6SS|HXY
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Xenosauridae|Xenosaurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H6SS|HXY|88Y3
Biota|Animalia|Chordata|Reptilia|Squamata|Diploglossa|Xenosauridae|Xenosaurus|Xenosaurus grandis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H6SS|HXY|88Y3|5CBJS
Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Pygopus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|87BW6|62784|75V8
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Alopoglossidae|Alopoglossus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|8GSMH|STV
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Alopoglossidae|Alopoglossus|Alopoglossus carinicaudatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|8GSMH|STV|87PRM
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Alopoglossidae|Alopoglossus|Alopoglossus copii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|8GSMH|STV|668K9
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Anadia,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62BZQ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Anadia|Anadia bogotensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62BZQ|DCR3
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Anadia|Anadia marmorata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62BZQ|DCRB
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Anadia|Anadia ocellata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62BZQ|DCRH
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Anadia|Anadia rhombifera,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62BZQ|DCRP
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Andinosaura|Andinosaura oculata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8GNR8|8GNY6
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Arthrosaura,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|33DS
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Arthrosaura|Arthrosaura reticulata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|33DS|GZDY
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia alleni,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|87WTW
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia dorbignyi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|K85T
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia flavescens,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|67YBT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia heteropa,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|K85X
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia pallidiceps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|K869
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Bachia|Bachia trisanale,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|373H|K86M
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Cercosaura|Cercosaura argulus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3L2M|8GPFX
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Cercosaura|Cercosaura manicata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3L2M|STHL
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Cercosaura|Cercosaura ocellata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3L2M|STHP
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Cercosaura|Cercosaura olivacea,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3L2M|8H692
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Cercosaura|Cercosaura schreibersii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3L2M|STHT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Colobosaura|Colobosaura modesta,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|3SFL|5ZN3G
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Ecpleopus|Ecpleopus gaudichaudii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|632JR|38NX4
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Euspondylus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4H73
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Euspondylus|Euspondylus guentheri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4H73|6HGPP
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Euspondylus|Euspondylus maculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4H73|6HGPD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Gymnophthalmus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4RVW
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Gymnophthalmus|Gymnophthalmus pleii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4RVW|3HT9H
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Gymnophthalmus|Gymnophthalmus speciosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|4RVW|3HT9L
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Heterodactylus|Heterodactylus imbricatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62V4J|3L94H
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Heterodactylus|Heterodactylus lundii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|62V4J|3L94J
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Iphisa,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|54TX
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Iphisa|Iphisa elegans,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|54TX|3PV9L
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Leposoma|Leposoma scincoides,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|87GTV|3TG9W
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Loxopholis,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8FZ3M
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Loxopholis|Loxopholis rugiceps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8FZ3M|8GPYZ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Micrablepharus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|5RB7
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Micrablepharus|Micrablepharus maximiliani,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|5RB7|42PTV
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Neusticurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|63T8
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Neusticurus|Neusticurus bicarinatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|63T8|47BKT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Oreosaurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8G23K
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Oreosaurus|Oreosaurus luctuosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8G23K|8H6GR
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Oreosaurus|Oreosaurus shrevei,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8G23K|8GQ4G
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Pholidobolus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|6NXJ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Pholidobolus|Pholidobolus affinis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|6NXJ|4GLQJ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Pholidobolus|Pholidobolus vertebralis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|6NXJ|4GLQT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Placosoma,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8MTMD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Placosoma|Placosoma glabellum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|8MTMD|77NPL
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Potamites|Potamites ecpleopus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|6V5K|77VL5
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Proctoporus|Proctoporus pachyurus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|6WCC|4MPSJ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Riama,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|63RYD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Riama|Riama simotera,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|63RYD|4SXZ5
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Tretioscincus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|7YSY
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Tretioscincus|Tretioscincus bifasciatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|625DZ|7YSY|584GM
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae,unranked|kingdom|phylum|class|order|superfamily|family,5T6MX|N|CH2|RP|45C|8H5VG|GYH
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Ameiva,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|TNB
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Ameiva|Ameiva ameiva,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|TNB|CQKP
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Ameiva|Ameiva bifrontata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|TNB|CQKW
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Ameiva|Ameiva praesignis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|TNB|66B79
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Ameivula|Ameivula ocellifera,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|TNC|CQMM
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis angusticeps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHGX
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis communis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|6874D
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis costatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHHB
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis deppii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHHD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis guttatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHHQ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis hyperythrus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHHS
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis marmoratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHHZ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis maximus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHJ4
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis sackii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHJG
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aspidoscelis|Aspidoscelis tesselatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DYC|HHJN
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Aurivela|Aurivela longicauda,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62DL9|67XHV
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Callopistes|Callopistes flavipunctatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62KPB|PVRF
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Callopistes|Callopistes maculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|62KPB|PVRJ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Cnemidophorus|Cnemidophorus espeuti,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|87F3R|88BSF
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Cnemidophorus|Cnemidophorus lemniscatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|87F3R|WGZW
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Cnemidophorus|Cnemidophorus murinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|87F3R|WH2L
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Cnemidophorus|Cnemidophorus nigricolor,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|87F3R|WH2R
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Contomastix|Contomastix lacertoides,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|3TJC|XVRN
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Crocodilurus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|3W3C
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Crocodilurus|Crocodilurus amazonicus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|3W3C|ZKLL
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Dicrodon,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|44W2
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Dicrodon|Dicrodon guttulatum,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|44W2|35TVN
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Dicrodon|Dicrodon heterolepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|44W2|35TVP
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Dracaena,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8MQX7
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Dracaena|Dracaena guianensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8MQX7|6DJFS
