Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Tridactylidea|Tridactyloidea|Tridactylidae|Mongoloxyinae|Baisoxya,unranked|kingdom|phylum|class|order|suborder|infraorder|superfamily|family|subfamily|genus,5T6MX|N|RT|H6|8NKFC|8NKFL|8NKFZ|8NKGR|8NKRC|8PRYZ|8NN25
Biota|Animalia|Arthropoda|Insecta|Orthoptera|Ensifera|Tettigoniidea|Tettigonioidea|Tettigoniidae|Conocephalinae|Agraeciini|Liarina|Acrodonta,unranked|kingdom|phylum|class|order|suborder|infraorder|superfamily|family|subfamily|tribe|subtribe|genus,5T6MX|N|RT|H6|8NKFC|8NKFN|8NKFY|8NKGQ|8NKR2|8NKTJ|8PS3B|8PTQW|8NLH8
Biota|Animalia|Arthropoda|Insecta|Orthoptera|Ensifera|Tettigoniidea|Tettigonioidea|Tettigoniidae|Hetrodinae|Eugastrini|Acanthoproctus,unranked|kingdom|phylum|class|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus,5T6MX|N|RT|H6|8NKFC|8NKFN|8NKFY|8NKGQ|8NKR2|8NKWH|8PT58|8NLBY
Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Hyperiidea|Physocephalata|Physocephalatidira|Platysceloidea|Oxycephalidae|Oxycephalus,unranked|kingdom|phylum|class|order|suborder|infraorder|parvorder|superfamily|family|genus,5T6MX|N|RT|MC|MP|7NFHM|7NFKY|7ZJKT|7NFQS|7NK8G|7PNXT
Biota|Animalia|Chordata|Amphibia|Anura|Calyptocephalellidae|Calyptocephalella,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|PH|PW|7M6|3G6Q
Biota|Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|V2|X3|BSK|X4R
Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Hyperoodontidae|Hyperoodon,unranked|kingdom|phylum|class|subclass|infraclass|order|suborder|family|genus,5T6MX|N|CH2|6224G|6226C|LG|WP|62397|6257Q|52G5
Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Colobinae|Colobini|Colobus,unranked|kingdom|phylum|class|subclass|infraclass|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus,5T6MX|N|CH2|6224G|6226C|LG|3W7|4DT|4PM|4X9|7X9|JCX|KQK|3SG4
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena alba,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5FY
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena albocingulata,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5G2
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena angustifrons,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5G7
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena brasiliana,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|66FLG
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena darwinii,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5HJ
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena fenestrata,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5HM
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena fuliginosa,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5HR
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena gracilis,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|66FLJ
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena leucocephala,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5JL
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena mertensii,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5JY
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena plumbea,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5KS
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena pretrei,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5KY
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena prunicolor,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5KZ
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Amphisbaena|Amphisbaena steindachneri,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62B6P|D5LN
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Baikia,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|6BL|62FL3
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Baikia|Baikia africana,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|62FL3|5WB2Z
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Chirindia|Chirindia ewerbecki,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|3NB4|5XT35
